Category,Id,Origin,AP,DefValue
S17-1,2,Closes ICM-8,"Start Action of (17,1) Command","Retrieve (17,2) report from OutFactory and set action outcome to “success' if retrieval succeeds. If the retrieval fails, generate error report OUTFACTORY\_FAILED and set outcome of Start Action to 'failed'"
S17-1,3,Closes ICM-9,"Progress Action of (17,1) Command","Configure the (17,2) report with a destination equal to the source of the (17,1), load it in the OutLoader, and set action outcome to 'completed'"
S17-1,4,Closes ICM-10,"Termination Action of (17,1) Command",Set action outcome to 'success'
S17-1,5,Closes ICM-11,"Abort Action of (17,1) Command",Do nothing
S17-1,6,Closes ICM-15,"Operation to Report Progress Successful for (17,1) Command",Do nothing
S17-1,7,Closes ICM-20,"Discriminant Attribute of (17,1) Command","Command (17,1) has no discriminant"
S17-1,8,Closes ICM-21,"Parameter Attributes of (17,1) Command","Command (17,1) carries no parameters"
S17-2,1,Closes OCM-9,"Destination Attribute of (17,2) Report","The destination is set to be equal to the source of the (17,1) command which triggers the (17,2)"
S17-2,2,Closes OCM-11,"Discriminant Attribute of (17,2) Report","No discriminant attribute is defined for reports (17,2)"
S17-2,3,Closes OCM-12,"Parameter Attribute of (17,2) Report","Report (17,2) carries no parameters"
S17-2,4,Closes OCM-13,"Enable Check Operation of (17,2) Report","Reports (17,2) are always enabled"
S17-2,5,Closes OCM-14,"Ready Check Operation of (17,2) Report","Reports (17,2) are always ready"
S17-2,6,Closes OCM-15,"Repeat Check Operation of (17,2) Report","Report (17,2) are never repeated"
S17-2,7,Closes OCM-16,"Update Action of (17,2) Report",No action
S17-3,1,Closes ICM-7,"Ready Check of (17,3) Command",Return “command is ready'
S17-3,2,Closes ICM-8,"Start Action of (17,3) Command","Run procedure Command (17,3) Start Action of figure \ref{fig:Cmd17s3Start}"
S17-3,3,Closes ICM-9,"Progress Action of (17,3) Command","Run procedure Command (17,3) Progress Action of figure \ref{fig:Cmd17s3Prgr}"
S17-3,4,Closes ICM-10,"Termination Action of (17,3) Command",Set action outcome to 'success'
S17-3,5,Closes ICM-11,"Abort Action of (17,3) Command",Do nothing
S17-3,6,Closes ICM-15,"Operation to Report Progress Successful for (17,3) Command",Do nothing
S17-3,7,Closes ICM-20,"Discriminant Attribute of (17,3) Command","Command (17,3) has no discriminant"
S17-3,8,Closes ICM-21,"Parameter Attributes of (17,3) Command","Command (17,3) carries one parameter representing the destination to which the (17,1) command must be sent"
S17-4,1,Closes OCM-9,"Destination Attribute of (17,4) Report","The destination is set to be equal to the source of the (17,3) command which triggers the (17,4)"
S17-4,2,Closes OCM-11,"Discriminant Attribute of (17,4) Report","No discriminant attribute is defined for reports (17,4)"
S17-4,3,Closes OCM-12,"Parameter Attribute of (17,2) Report","Report (17,4) carries no parameters"
S17-4,4,Closes OCM-13,"Enable Check Operation of (17,2) Report","Report (17,4) is always enabled"
S17-4,5,Closes OCM-14,"Ready Check Operation of (17,2) Report","Report (17,4) is always ready"
S17-4,6,Closes OCM-15,"Repeat Check Operation of (17,2) Report","Report (17,4) is never repeated"
S17-4,7,Closes OCM-16,"Update Action of (17,2) Report",No action
